page	id	results__adult	results__backdrop_path	results__genre_ids__001	results__genre_ids__002	results__genre_ids__003	results__id	results__original_language	results__original_title	description	results__popularity	link	results__release_date	title	results__video	results__vote_average	results__vote_count	total_pages	total_results	results__genre_ids__004	results__genre_ids__005
1	1	FALSE	/xRI636TOdS1K1GBqIBRSmfZ1T5x.jpg	35	18	10749	19404	hi	??????? ????????? ?? ???????	"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."	22.212	/2CAL2433ZeIihfX1Hb2139CX0pW.jpg	10/20/1995	Dilwale Dulhania Le Jayenge	FALSE	8.7	2761	428	8551		
	2	FALSE	/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg	10749			724089	en	Gabriel's Inferno Part II	"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?"	7.686	/pci1ArYW7oJ2eyTo2NMYEKHHiCP.jpg	7/31/2020	Gabriel's Inferno Part II	FALSE	8.7	1221				
	3	FALSE	/iNh3BivHyg5sQRPP1KOkzguEX0H.jpg	18	80		278	en	The Shawshank Redemption	"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."	52.466	/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg	9/23/1994	The Shawshank Redemption	FALSE	8.7	18627				
	4	FALSE	/rSPw7tgCH9c6NqICZef4kZjFOQ5.jpg	18	80		238	en	The Godfather	"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."	62.178	/3bhkrj58Vtu7enYsRolD1fZdja1.jpg	3/14/1972	The Godfather	FALSE	8.7	14048				
	5	FALSE	/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg	10749	35		761053	en	Gabriel's Inferno Part III	The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.	19.065	/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg	11/19/2020	Gabriel's Inferno Part III	FALSE	8.7	773				
	6	FALSE	/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg	10749			696374	en	Gabriel's Inferno	"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love."	8.739	/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg	5/29/2020	Gabriel's Inferno	FALSE	8.7	1992				
	7	FALSE	/pcDc2WJAYGJTTvRSEIpRZwM3Ola.jpg	28	12	14	791373	en	Zack Snyder's Justice League	"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."	8052.028	/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg	3/18/2021	Zack Snyder's Justice League	FALSE	8.6	4112			878	
	8	FALSE	/ajEy9GDnAvKDNClDTNvGEEV0Jub.jpg	10751	12	16	441130	en	Wolfwalkers	"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy."	29.276	/vqGiNbdc2sDwsnivMMYzwAoSSu6.jpg	10/26/2020	Wolfwalkers	FALSE	8.6	351			14	
	9	FALSE	/loRmRzQXZeqG78TqZuyvSlEQfZb.jpg	18	36	10752	424	en	Schindler's List	The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.	38.85	/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg	11/30/1993	Schindler's List	FALSE	8.6	11177				
	10	FALSE	/poec6RqOKY9iSiIUmfyfPfiLtvB.jpg	18	80		240	en	The Godfather: Part II	"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."	42.1	/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg	12/20/1974	The Godfather: Part II	FALSE	8.6	8385				
	11	FALSE	/dIWwZW7dJJtqC6CgWzYkNVKIUm8.jpg	10749	16	18	372058	ja	?????	"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."	127.071	/q719jXXEzOoYaps6babgKnONONX.jpg	8/26/2016	Your Name.	FALSE	8.6	7274				
